index,table,name,type,default,min,max,unique_by,required,required_unless,required_ncei,reference_table,notes
1,deployments,organization_code,code,,,,,TRUE,,,organizations,
2,deployments,deployment_code,code,,,,organization_code,TRUE,,,,
3,deployments,project_code,code,,,,,,,TRUE,,
4,deployments,site_code,code,,,,,,,,,Required for NCEI only if platform is stationary
5,deployments,deployment_device_codes,code_list,,,,,,,,,
6,deployments,deployment_platform_type_code,code,,,,,TRUE,,,platform_types,
7,deployments,deployment_water_depth_m,float,,0,,,,,,,
8,deployments,deployment_datetime,timestamp,,,,,TRUE,,,,
9,deployments,deployment_latitude,float,,-90,90,,TRUE,,,,
10,deployments,deployment_longitude,float,,-180,180,,TRUE,,,,
11,deployments,deployment_vessel,text,,,,,,,,,
12,deployments,deployment_cruise,text,,,,,,,,,
13,deployments,deployment_alias,text,,,,,,,,,
14,deployments,deployment_json,json,,,,,,,,,
15,deployments,deployment_comments,text,,,,,,,,,
16,deployments,recovery_datetime,timestamp,,,,,,,TRUE,,
17,deployments,recovery_latitude,float,,-90,90,,,,TRUE,,
18,deployments,recovery_longitude,float,,-180,180,,,,TRUE,,
19,deployments,recovery_vessel,text,,,,,,,,,
20,deployments,recovery_cruise,text,,,,,,,,,
21,deployments,recovery_surface_datetime,timestamp,,,,,,,,,
22,deployments,recovery_burn_datetime,timestamp,,,,,,,,,
23,deployments,recovery_json,json,,,,,,,,,
24,deployments,recovery_comments,text,,,,,,,,,
25,deployments,parent_deployment_code,code,,,,,,,,,
1,recordings,organization_code,code,,,,,TRUE,,,organizations,
2,recordings,deployment_code,code,,,,,TRUE,,,,
3,recordings,recording_code,code,,,,"organization_code,deployment_code",TRUE,,,,
4,recordings,recording_device_codes,code_list,,,,,TRUE,recording_device_lost=='TRUE' | recording_quality_code=='UNUSABLE',,,
5,recordings,recording_start_datetime,timestamp,,,,,TRUE,recording_device_lost=='TRUE' | recording_quality_code=='UNUSABLE',,,
6,recordings,recording_end_datetime,timestamp,,,,,,,TRUE,,
7,recordings,recording_duration_secs,float,,0,,,TRUE,recording_device_lost=='TRUE' | recording_quality_code=='UNUSABLE',,,
8,recordings,recording_interval_secs,float,,0,,,TRUE,recording_device_lost=='TRUE' | recording_quality_code=='UNUSABLE',,,
9,recordings,recording_sample_rate_khz,float,,0,,,TRUE,recording_device_lost=='TRUE' | recording_quality_code=='UNUSABLE',,,
10,recordings,recording_bit_depth,integer,,0,,,,,TRUE,,
11,recordings,recording_channel,integer,,0,,,,,TRUE,,
12,recordings,recording_n_channels,integer,1,0,,,TRUE,recording_device_lost=='TRUE' | recording_quality_code=='UNUSABLE',,,
13,recordings,recording_filetypes,text,,,,,,,,,
14,recordings,recording_timezone,timezone,,,,,TRUE,recording_device_lost=='TRUE' | recording_quality_code=='UNUSABLE',,,
15,recordings,recording_usable_start_datetime,timestamp,,,,,,,,,
16,recordings,recording_usable_end_datetime,timestamp,,,,,,,,,
17,recordings,recording_usable_min_frequency_khz,float,,0,,,,,,,
18,recordings,recording_usable_max_frequency_khz,float,,0,,,,,,,
19,recordings,recording_quality_code,code,UNVERIFIED,,,,,,TRUE,recording_quality_types,
20,recordings,recording_device_lost,bool,FALSE,,,,,,,,
21,recordings,recording_device_depth_m,float,,0,,,,,TRUE,,
22,recordings,recording_redacted,bool,,,,,,,,,
23,recordings,recording_json,json,,,,,,,,,Recording-specific calibration required for NCEI
24,recordings,recording_uri,uri,,,,,,,,,
