"table","code","name"
analysis_granularity_types,EVENT_CALL,Single Call Detection
analysis_granularity_types,EVENT_ENCOUNTER,Individual or Group Detection
analysis_granularity_types,INTERVAL,Binned Time Intervals
analysis_processing_types,POST-PROCESSED,Post-Processed
analysis_processing_types,REAL-TIME,Real-Time
analysis_quality_types,FULLY_VALIDATED,Fully Validated
analysis_quality_types,NOT_VALIDATED,Not Validated
analysis_quality_types,PARTIALLY_VALIDATED,Partially Validated
behaviors,COMPETION,Competition
behaviors,CONTACT,Contact
behaviors,FORAGING,Foraging
behaviors,INDIVIDUAL_ID,Individual Identification
behaviors,MATING,Mating
behaviors,MIGRATION,Migration
behaviors,MOM_CALF,Mother/Calf Interaction
behaviors,PREDATION,Predation Response Call
behaviors,RESTING,Resting
behaviors,SAG,Surface Active Group (SAG)
behaviors,SOCIAL,Socializing
behaviors,STRESS,Stress
behaviors,TRAVELING,Traveling
call_types,BESE_MIX,Bearded seal mixed calls
call_types,BLWH_A,Blue whale A calls
call_types,BLWH_ARCHD,Blue whale arch/D call
call_types,BLWH_B,Blue whale B calls
call_types,BLWH_D,Blue whale D calls
call_types,BLWH_MIX,"Blue whale mix of A/B/AB song, arch, and D calls"
call_types,BLWH_SONG,Blue whale A/B/AB song
call_types,BOWH_MIX,Bowhead whale mixed calls
call_types,BOWH_NONSONG,Bowhead whale non-song calls
call_types,BOWH_SONG,Bowhead whale song
call_types,BRWH_DS,Bryde's whale downsweeps
call_types,BRWH_MIX,Bryde's whale mixed call types
call_types,BRWH_TONAL,Bryde's whale tonal calls
call_types,COD_GRUNT,Cod grunt
call_types,FIWH_130HZ,Fin whale 130-Hz note
call_types,FIWH_20HZ,Fin whale 20-Hz pulse
call_types,FIWH_40HZ,Fin whale 40-Hz downsweep
call_types,FIWH_MIX,Fin whale mixed call types
call_types,GRWH_CALL1,Gray whale Class 1 call type
call_types,GRWH_CALL2,Gray whale Class 2 call type
call_types,GRWH_CALL3,Gray whale Class 3 call type
call_types,GRWH_CALL4,Gray whale Class 4 call type
call_types,GRWH_MIX,Gray whale mixed calls
call_types,GUNSHOT,Gunshot-like sound produced by a whale
call_types,HUWH_MIX,Humpback whale song and social
call_types,HUWH_SOCIAL,Humpback whale social
call_types,HUWH_SONG,Humpback whale song
call_types,MIWH_BOING,Minke whale boing
call_types,MIWH_DS,Minke whale downsweep produced by both common and Antarctic minke whales
call_types,MIWH_PT,Minke whale pulse train (general)
call_types,MIWH_PTC,Minke whale pulse train/constant
call_types,MIWH_PTSD,Minke whale pulse train/slow-down
call_types,MIWH_PTSU,Minke whale pulse train/speed-up
call_types,MIWH_STAR,Minke whale Star Wars vocalization
call_types,MIWHAN_BIODUCK,Antarctic minke whale bio-duck call
call_types,OD_BURST_PULSE,Odontocete burst pulse
call_types,OD_BUZZ,Generic odontocete buzz
call_types,OD_CLICK_FM,Frequency modulated upsweep (e.g. beaked whales)
call_types,OD_CLICK_IMP,Impulsive click type (few cycles in waveform)
call_types,OD_CLICK_MIX,Mix of click types (e.g. FM clicks and impulsive clicks)
call_types,OD_CLICK_NBHF,Narrow band high frequency click
call_types,OD_LF_TONE,Odontocete low frequency (<3 kHz) tonal call
call_types,OD_MIX,Mix of a bunch odontocete call types
call_types,OD_PULSE,Odontocete pulsed call for biphonating species
call_types,OD_WHIS,Generic whistles
call_types,OD_WHIS_HF,High frequency dolphin whistles (>32 kHz)
call_types,OD_WHIS_MIX,Combination of whistle types (e.g. generic and signature)
call_types,OD_WHIS_SIG,Signature whistles
call_types,PWDO_CLICKA,Pacific white-sided dolphin A click
call_types,PWDO_CLICKB,Pacific white-sided dolphin B click
call_types,RCWH_DS,Rice's whale downsweep
call_types,RCWH_MOAN,Rice's whale moan
call_types,RW_CTW,"Right whale constant, tonal, or waver call"
call_types,RW_DC,Right whale downcall
call_types,RW_MIX,Right whale mixed call types
call_types,RW_MOAN,Right whale moan
